Originality,Fluency,Elaboration,Creativity,Attractiveness,Emotion,Quality,Ngram,Novelty,Lexicla_idea,CLiN,Sum_TTCT_Metrics
1.8,1.4,1.6,1,1.8,1.6,0.6,10,0.1456483162264648,0,0.32,4.8
2.6,2.6,2.4,2,2.6,2,0.68,16,0.588698,5,0.97,7.6
2.0,1.4,2.8,1.6,1.4,1.2,0.6,6,0.11482548440278312,4,0.24,6.2
1.4,1.2,1.2,1.4,1.2,1.2,0.62,9,0.02336448565429621,1,0.18,4
2.0,1.6,1.8,2.2,2,1.4,0.86,9,0.20139790524936554,4,0.39,5.4
1.8,1.2,1.4,1.4,1.4,1.4,0.81,10,0.04139529890089266,4,0.27,4.4
2.0,2,2,1.6,1.8,1.4,0.58,13,0.03240265794811452,3,0.33,6
2.4,1.8,1.2,2.2,2.2,2.2,0.68,7,0.61034465,1,0.73,5.4
2.2,1.8,2.2,2.6,2.4,1.8,0.61,9,0.4388415816093834,1,0.6,6.2
1.2,1.2,2.4,1.6,1.8,1.8,0.63,14,0.15785599288008598,3,0.46,4.8
1.6,1.4,2.6,1.8,2,1.6,0.7,14,0.12190325096292187,8,0.49,5.6
2.2,1.6,2.4,1.8,1.6,1.6,0.93,11,0.05289910245043938,9,0.35,6.2
1.8,1.4,2,1.8,1.8,1.4,0.7,16,0.2545477803863668,3,0.57,5.2
2.0,1.6,2,1.8,1.6,2.6,0.59,6,0.23049291987772982,0,0.34,5.6
1.2,1,2,1.8,1.8,2.2,0.84,6,0.3621636971766248,2,0.47,4.2
2.4,2.6,1.8,2.8,1.8,1.6,0.69,8,0.10513583559835847,5,0.34,6.8
2.6,1.6,2,2,2.2,2,0.81,9,0.5803275,2,0.77,5.6
1.6,2.2,2,1.4,1.8,1.8,0.68,6,0.08565515844982925,2,0.24,5.8
2.4,1.4,1.8,2.4,2.2,2.4,0.79,6,0.5481173,1,0.67,5.6
2.4,2,2.6,2.2,2.2,2.2,0.76,11,0.2248116787793072,3,0.46,7
2.0,1.8,2.6,1.6,2,2.2,0.78,11,0.10542188220772333,1,0.31,6.4
1.6,2.2,2.4,1.8,2,2.4,0.75,11,0.1411016759863975,9,0.46,6.2
1.2,1.6,2.8,1.8,1.8,1.8,0.79,20,0.01891291221749517,10,0.64,6.4
1.8,1.2,1.8,1.4,1.4,1.4,0.78,8,0.23020874831481564,1,0.37,4.8
2.0,1.6,1.8,1.4,1.6,2,0.75,10,0.04997800523704644,4,0.26,5.4
2.0,1.4,2.2,1.4,1.6,2,0.76,10,0.1950496812296931,5,0.42,5.6
2.6,2,2.6,2.6,2,2.6,0.81,17,0.22682139125971704,9,0.73,7.2
2.2,1.4,2.2,2,2,2,0.75,12,0.13084826850626732,2,0.36,5.8
2.4,2.6,2.6,2.4,2.8,2.2,0.76,14,0.07485958762458533,3,0.39,7.6
2.4,2.2,2.6,2,2,2.2,0.78,13,0.26523491726456383,3,0.55,7.2
2.6,1.8,2,2.4,2.6,2.4,0.8,10,0.0717209525370609,7,0.33,6.4
2.4,1.2,2.2,3,2.6,2.8,0.84,5,0.51906395,0,0.59,5.8
2.2,1.8,2,1.8,1.6,2,0.57,9,0.30931516785198665,1,0.47,6
,,,,,,,,,0,0,0
